park_name,postcode,website,staticcaravanparks_url,telephone,no_pitches,pitch_fees,season_pitches_box_found,data_source,county,town,region,region_fallback_used,status,chain
Amble Links Coastal Holiday Park,NE65 0SD,https://www.parkleisure.co.uk/amble-links/,https://www.staticcaravanparks.co.uk/parks/northumberland/amble-links-coastal-retreat-holiday-park,0808 231 5572,,,False,original 643-park reference table,Northumberland,Amble by the Sea,North East,yes,listings,Park Leisure
Andrewshayes Holiday Park,EX13 7DY,https://www.andrewshayes.co.uk,https://www.staticcaravanparks.co.uk/parks/northern-ireland/hayes-caravan-park,02820 762905,,,False,original 643-park reference table,Devon,Dalwood,South West,no,listings,
Angrove Country Park,TS9 6RN,https://leisureresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/the-grove-caravan-park,,,,False,original 643-park reference table,North Yorkshire,Great Ayton,North East,no,listings,Leisure Resorts
Appletree Country Park,PE20 3QX,https://www.awayresorts.co.uk,,,,,False,original 643-park reference table,Lincolnshire,Holland Fen with Brothertoft,Central England,no,listings,Away Resorts
Arrow Bank Holiday Park,HR6 9BG,https://www.discoverparks.co.uk,https://www.staticcaravanparks.co.uk/parks/herefordshire/arrow-bank-holiday-park,01544 388 312,,,False,original 643-park reference table,"Herefordshire, County of",Eardisland,Central England,no,listings,Discover Parks
Ashbourne Heights Country  Leisure Park,DE6 1LE,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/derbyshire/ashbourne-heights-park,01335 350228,,,False,original 643-park reference table,Derbyshire,Fenny Bentley,Central England,no,listings,Park Holidays
Ashby Park,LN9 5PP,https://www.ashbypark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/ashby-park,01507 527 966,,,False,original 643-park reference table,Lincolnshire,West Ashby,Central England,no,listings,
Ashley Heath Caravan Park,BH24 2EL,https://islandmeadow.co.uk,https://www.staticcaravanparks.co.uk/parks/dorset/ashley-heath-caravan-park,01425 473672,,,False,original 643-park reference table,Dorset,St. Leonards and St. Ives,South West,no,listings,Island Meadow
Azure Seas Holiday Village,NR32 5HN,http://azureseas.co.uk/,https://www.staticcaravanparks.co.uk/parks/suffolk/azure-seas-caravan-park,01502 731 403,95.0,2500.0,True,original 643-park reference table,Suffolk,Corton,General East,no,listings,
Bablock Hythe (Oxfordshire),OX29 5AT,https://greenwoodparks.net,https://www.staticcaravanparks.co.uk/parks/oxfordshire/bablock-hythe-caravan-park,01865 882 236,300.0,2454.0,True,original 643-park reference table,Oxfordshire,Northmoor,South East,no,listings,Green Wood Parks
Badgers Retreat Holiday Park,DL10 7RF,https://wyldecrestholidayparks.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/badgers-glade-caravan-park,01650 521 767,50.0,,False,original 643-park reference table,North Yorkshire,Tunstall,Yorkshire and Humber,no,listings,Wyldecrest Holiday Parks
Ballintuim,PH10 7NH,http://ballintuimpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/scotland/ballintuim-caravan-park,01250 886276,,,False,original 643-park reference table,Perth and Kinross,Perth and Kinross,Scotland,no,listings,
Banchory Lodge Caravan Park,AB31 5HT,https://www.banchorylodgecaravanpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/scotland/banchory-lodge-caravan-park,01330 822246,,,False,original 643-park reference table,Aberdeenshire,Aberdeenshire,Scotland,no,listings,
Barmoor Castle Country Park,TD15 2TR,http://barmoorcastle.co.uk/,https://www.staticcaravanparks.co.uk/parks/northumberland/barmoor-castle-country-park,01289 388 376,,,False,original 643-park reference table,Northumberland,Lowick,North East,no,listings,
Barmouth Bay Holiday Park,LL43 2BJ,https://www.awayresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/barmouth-bay-holiday-village,01341 247 350,,,False,original 643-park reference table,Gwynedd,Dyffryn Ardudwy,North Wales,no,listings,Away Resorts
Barmston Beach Holiday Park,YO25 8PJ,https://www.parkdeanresorts.co.uk/,https://www.staticcaravanparks.co.uk/parks/yorkshire/barmston-beach-holiday-park,01262 468 202,,,True,original 643-park reference table,East Riding of Yorkshire,Barmston,Yorkshire and Humber,no,listings,Parkdean
Bay View,LA5 9TN,https://www.holgates.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/bay-view,,,,False,original 643-park reference table,Lancashire,Bolton-le-Sands,North West,no,listings,Holgates
Beachside Holiday Park,TA8 2QZ,https://www.beachside.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beachside-holiday-estate,01754 872 261,,,False,original 643-park reference table,Somerset,Berrow,South West,no,listings,
Beauport,TN37 7PP,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/sussex/beauport-holiday-village,08458 159 777,,,False,original 643-park reference table,East Sussex,"Hastings, unparished area",South East,no,listings,Park Holidays
Beetham,LA7 7BS,https://www.holgates.co.uk,https://www.staticcaravanparks.co.uk/parks/cumbria/beetham-holiday-homes,,,,False,original 643-park reference table,Westmorland and Furness,Beetham,North West,no,listings,Holgates
Belle Aire Holiday Park,NR29 4HZ,http://www.hemsbybelleaire.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/belle-aire-caravan-park,01493 731 164,,,False,original 643-park reference table,Norfolk,Hemsby,General East,no,listings,
Berthlwyd Hall Holiday Park,LL32 8DQ,https://www.stdavidsleisure.com,https://www.staticcaravanparks.co.uk/parks/wales/berthlwydd-hall-park,01492 592 270,,,False,original 643-park reference table,Conwy,Henryd,North Wales,no,listings,St David's Leisure
Berwick Holiday Park,TD15 1NE,https://www.haven.com/parks/northumberland/berwick,,01289 307138,,,False,original 643-park reference table,Northumberland,Berwick-upon-Tweed,North East,no,listings,Haven
Betws-y-Coed,LL24 0AL,https://www.morris-leisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/riverside-caravan-park,01873 810 397,,,False,original 643-park reference table,Conwy,Betws-y-Coed,North Wales,no,listings,Morris Leisure
Beverley Bay Holiday Park,TQ4 7JE,https://www.beverleyholidayhomes.co.uk,https://www.staticcaravanparks.co.uk/parks/devon/beverley-park,01803 843887,,,False,original 643-park reference table,Torbay,"Torbay, unparished area",South West,no,listings,
Beverley Parks (Paignton),TQ4 7JE,https://www.beverleyholidayhomes.co.uk,https://www.staticcaravanparks.co.uk/parks/devon/beverley-park,01803 843887,,,False,original 643-park reference table,Torbay,"Torbay, unparished area",South West,no,listings,
Bideford Bay Holiday Park,EX39 5DU,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/devon/bideford-bay-holiday-park,01237 431 331,,,True,original 643-park reference table,Devon,Woolfardisworthy,South West,no,listings,Parkdean
Billing Aquadrome,NN3 9DA,https://www.billingaquadrome.com,https://www.staticcaravanparks.co.uk/parks/northamptonshire/billing-aquadrome,01604 408 181,,,False,original 643-park reference table,West Northamptonshire,Northampton,Central England,no,listings,
Birchington Vale Holiday Park,CT7 0HD,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/kent/birchington-vale,01843841068,571.0,,False,original 643-park reference table,Kent,Manston,South East,no,listings,Park Holidays
Bishop's Castle,SY9 5EF,https://www.morris-leisure.co.uk,,,,,False,original 643-park reference table,Shropshire,Wentnor,Central England,no,listings,Morris Leisure
Black Beck,LA12 8JN,https://www.partingtons.com,https://www.staticcaravanparks.co.uk/parks/cumbria/black-beck-caravan-park,01253 879911,,,False,original 643-park reference table,Westmorland and Furness,Colton,North West,no,listings,Partington's
Blairgowrie,PH10 7AL,https://www.woodleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/scotland/blairgowrie-holiday-park,01250 878 123,,,True,original 643-park reference table,Perth and Kinross,Perth and Kinross,Scotland,no,listings,Wood Leisure
Blakemere Holiday Park,CW8 2EB,https://stayatblakemere.co.uk,https://www.staticcaravanparks.co.uk/parks/cheshire/blakemere-touring-holiday-park,,,,False,original 643-park reference table,Cheshire West and Chester,Cuddington (Weaver and Cuddington Ward),North West,no,listings,
Blue Dolphin Holiday Park,YO14 9PU,https://www.haven.com/parks/yorkshire-filey/blue-dolphin,https://www.staticcaravanparks.co.uk/parks/kent/blue-dolphin-park,01723 515155,,,False,original 643-park reference table,North Yorkshire,Gristhorpe,Yorkshire and Humber,yes,listings,Haven
Bockenfield Country Park,NE65 9QJ,http://wyldecrestholidayparks.co.uk/property_location/bockenfield-country-park/,https://www.staticcaravanparks.co.uk/parks/northumberland/bockenfield-country-park,01524811357,,,False,original 643-park reference table,Northumberland,Thirston,North East,no,listings,Wyldecrest Holiday Parks
Bovisand Lodge Estate,PL9 0AA,https://bovisand.com,https://www.staticcaravanparks.co.uk/parks/devon/bovisand-lodge-estate,01752 403 554,,,False,original 643-park reference table,Devon,Wembury,South West,no,listings,
Bow House Country Park,SY9 5HY,https://www.morris-leisure.co.uk,https://www.staticcaravanparks.co.uk/parks/shropshire/bow-house-caravan-park,01588 638179,,,False,original 643-park reference table,Shropshire,Lydbury North,Central England,no,listings,Morris Leisure
Bowland Fell,BD23 4SD,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/yorkshire/bowland-fell-park,01729 840 278,,,False,original 643-park reference table,North Yorkshire,Wigglesworth,North West,no,listings,Park Holidays
Bowleaze Cove Holiday Park  Spa,DT3 6PP,https://watersideholidaygroup.co.uk,https://www.staticcaravanparks.co.uk/parks/dorset/cove-holiday-park,01305 821286,,,False,original 643-park reference table,Dorset,Weymouth,South West,no,listings,Waterside Holiday Group
Bradgate Park,LE6 0HE,http://wyldecrestholidayparks.co.uk/property_location/bradgate-park/,https://www.staticcaravanparks.co.uk/parks/kent/bradgate-caravan-park,01843 823 207,,,False,original 643-park reference table,Leicestershire,Newtown Linford,Central England,no,listings,Wyldecrest Holiday Parks
Bradley Burn Caravan Park,DL13 3JH,https://www.bradleyburn.co.uk,https://www.staticcaravanparks.co.uk/parks/county-durham/bradley-mill-caravan-park,01388 527 285,110.0,,False,original 643-park reference table,County Durham,Wolsingham,North East,no,listings,
Braidhaugh Holiday Park,PH7 4DH,http://www.largoleisure.co.uk/holiday-parks/braidhaugh/park-overview,https://www.staticcaravanparks.co.uk/parks/scotland/braidhaugh-caravan-park,01764 652951,,,False,original 643-park reference table,Perth and Kinross,Perth and Kinross,Scotland,no,listings,Largo Leisure
Bredon View Holiday Park Estate,WR10 3DY,https://www.allenscaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/somerset/country-view-caravan-park,01934 627595,,,False,original 643-park reference table,Worcestershire,Great Comberton,Central England,no,listings,Allens Caravans
Breydon Water Holiday Park,NR31 9QB,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/breydon-water-holiday-park,01493 780 357,,,True,original 643-park reference table,Norfolk,Burgh Castle,General East,yes,listings,Parkdean
Bridge Country Park,LA12 8NF,https://jamesparkestates.co.uk,https://www.staticcaravanparks.co.uk/parks/kent/bridge-country-leisure-club,,,,False,original 643-park reference table,Westmorland and Furness,Staveley-in-Cartmel,North West,no,listings,James Park Estates
Broadland Sands,NR32 5LQ,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/suffolk/broadland-sands-caravan-park,01502 730 939,,,False,original 643-park reference table,Suffolk,Corton,General East,no,listings,Park Holidays
Broadlands Park & Marina,NR33 9JY,https://tingdeneholidayparks.com,https://www.staticcaravanparks.co.uk/parks/suffolk/broadlands-park-and-marina,01502 573 033,42.0,2952.0,True,original 643-park reference table,Suffolk,Oulton Broad,General East,no,listings,Tingdene Holiday Parks
Broadwater,FY7 8JX,https://www.partingtons.com,https://www.staticcaravanparks.co.uk/parks/lancashire/broadwater-caravan-park,01253 872796,,,False,original 643-park reference table,Lancashire,Fleetwood,North West,no,listings,Partington's
Brokerswood,BA13 4EH,https://haulfrynholidays.co.uk,,,,,False,original 643-park reference table,Wiltshire,North Bradley,South West,no,listings,Haulfryn
Brompton on Swale Caravan Park,DL10 7EZ,https://meridianparks.co.uk,https://www.staticcaravanparks.co.uk/parks/yorkshire/brompton-on-swale-caravan-park,,177.0,,False,original 643-park reference table,North Yorkshire,Easby,Yorkshire and Humber,no,listings,Meridian Parks
Brooklyn Holiday Park,PR9 8BU,https://harrisonholidays.com,https://www.staticcaravanparks.co.uk/parks/lancashire/brooklyn-caravan-park,01704 228 534,,,False,original 643-park reference table,Lancashire,North Meols,North West,no,listings,Harrison Holidays
Brookside Holiday Camp Limited,BN17 7QE,https://www.brooksideuk.com,https://www.staticcaravanparks.co.uk/parks/kent/brookside-leisure-caravan-park,,,,False,original 643-park reference table,West Sussex,Lyminster and Crossbush,South East,no,listings,
Brynowen Holiday Park,SY24 5LS,https://www.parkdeanresorts.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/brynowen-holiday-park,01970871366,,,True,original 643-park reference table,Ceredigion,Borth,North Wales,no,listings,Parkdean
Brynteg Country  Leisure Retreat,LL55 4RF,https://www.parkleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/brynteg-caravan-park,01286 873100,,,False,original 643-park reference table,Gwynedd,Llanrug,North Wales,no,listings,Park Leisure
Brynteg Holiday Park,LL55 4RF,https://www.parkleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/brynteg-caravan-park,01286 873100,,,False,original 643-park reference table,Gwynedd,Llanrug,North Wales,no,listings,Park Leisure
Bude Holiday Resort,EX23 9EE,https://www.awayresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/cornwall/bude-holiday-resort,,,,False,original 643-park reference table,Cornwall,Bude-Stratton,South West,no,listings,Away Resorts
Burghead Holiday Park,IV30 5RP,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/scotland/burghead-beach-holiday-park,01343 830 084,,,False,original 643-park reference table,Moray,Moray,Scotland,yes,listings,Park Holidays
Burnham On Sea Holiday Park,TA8 1LA,https://www.haven.com/parks/somerset/burnham-on-sea,https://www.staticcaravanparks.co.uk/parks/somerset/holiday-village-caravan-park,01278 783391,,,False,original 643-park reference table,Somerset,Burnham-on-Sea and Highbridge,South West,yes,listings,Haven
Burtree Lakes Holiday Home & Touring Park,DL8 1LB,https://meridianparks.co.uk,https://www.staticcaravanparks.co.uk/parks/yorkshire/burtree-lakes-caravan-park,01677 422 833,,,False,original 643-park reference table,North Yorkshire,Crakehall,Yorkshire and Humber,no,listings,Meridian Parks
Butlins Skegness,PE25 1NJ,https://www.butlins.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/butlins-skyline-caravan-park,08450 704 750,,,False,original 643-park reference table,Lincolnshire,Ingoldmells,Central England,yes,listings,
Lyons Caerelwan Holiday Park,LL43 2AX,https://lyonsholidayparks.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/parc-caerelwan,,,,False,original 643-park reference table,Gwynedd,Dyffryn Ardudwy,North Wales,no,listings,Lyons Holiday Parks
Caister Holiday Park,NR30 5NQ,https://www.haven.com/parks/norfolk/caister-on-sea,https://www.staticcaravanparks.co.uk/parks/norfolk/caister-holiday-park,01493 720851,,,False,original 643-park reference table,Norfolk,Caister-on-Sea,General East,no,listings,Haven
Cakes and Ale Holiday Park,IP16 4TE,http://www.cakesandale.co.uk/,https://www.staticcaravanparks.co.uk/parks/suffolk/cakes-and-ale-caravan-park,,,,False,original 643-park reference table,Suffolk,Leiston,General East,no,listings,
Cala Gran Holiday Home Park,FY7 8JY,https://www.haven.com/parks/blackpool/cala-gran,https://www.staticcaravanparks.co.uk/parks/lancashire/ocean-edge-caravan-park,01253 872555,,,False,original 643-park reference table,Lancashire,Fleetwood,North West,yes,listings,Haven
Tingdene Caldecott Hall Country Park,NR31 9EY,https://tingdeneholidayparks.com,,,,,False,original 643-park reference table,Norfolk,Fritton and St. Olaves,General East,yes,listings,Tingdene Holiday Parks
California Cliffs Holiday Park,NR29 3QU,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/california-cliffs-holiday-park,01493 730 584,,,True,original 643-park reference table,Norfolk,Ormesby St. Margaret with Scratby,General East,no,listings,Parkdean
Callander Woods,FK17 8LE,https://www.woodleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/scotland/callander-woods-holiday-park,01250 878123,120.0,,True,original 643-park reference table,Stirling,Stirling,Scotland,no,listings,Wood Leisure
Camber Sands Holiday Park,TN31 7RT,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/sussex/camber-sands-holiday-park,01797 222 000,1129.0,,True,original 643-park reference table,East Sussex,Camber,South East,yes,listings,Parkdean
Campsie Glen Holiday Park,G63 0LP,https://www.woodleisure.co.uk/our-parks/campsie-glen/,https://www.staticcaravanparks.co.uk/parks/scotland/campsie-glen-holiday-park,01250 878123,,,True,original 643-park reference table,Stirling,Stirling,Scotland,no,listings,Wood Leisure
Cardigan Bay Holiday Park,SA43 3LW,https://www.johnfowlerholidays.com,https://www.staticcaravanparks.co.uk/parks/wales/cardigan-bay-holiday-park,01239 615 614,,,False,original 643-park reference table,Pembrokeshire,St. Dogmaels,South Wales,yes,listings,John Fowler Holidays
Cardigan View Holiday Park,LL49 9YA,https://www.haven.com,https://www.staticcaravanparks.co.uk/parks/somerset/country-view-caravan-park,01934 627595,,,False,original 643-park reference table,Gwynedd,Porthmadog,North Wales,yes,listings,Haven
Carlton Meres,IP17 2QP,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/suffolk/carlton-meres-country-park,,,,False,original 643-park reference table,Suffolk,Kelsale cum Carlton,General East,no,listings,Park Holidays
Carmarthen Bay Holiday Park,SA17 5HQ,https://www.parkdeanresorts.co.uk/location/wales/carmarthen-bay/,https://www.staticcaravanparks.co.uk/parks/wales/carmarthen-bay-holiday-park,01267267511,,,True,original 643-park reference table,Carmarthenshire,St. Ishmael,South Wales,yes,listings,Parkdean
Castle View Caravan Park,LA6 1FE,https://www.castleviewpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/castle-view-caravan-park,,,,False,original 643-park reference table,Lancashire,Over Kellet,North West,no,listings,
Causey Hill,NE46 2JN,http://www.causeyhillpark.co.uk/about-us,https://www.staticcaravanparks.co.uk/parks/northumberland/causey-hill-caravan-park,01434 602 834,,,False,original 643-park reference table,Northumberland,Hexham,North East,no,listings,Daly Parks
Cayton Bay Holiday Park,YO11 3NJ,http://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/yorkshire/cayton-bay-holiday-park,01723 583 111,,,True,original 643-park reference table,North Yorkshire,Cayton,Yorkshire and Humber,no,listings,Parkdean
Cenarth Falls Resort,SA38 9JS,https://www.cenarthfalls.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/cenarth-falls-holiday-park,01239 710 345,,,False,original 643-park reference table,Ceredigion,Beulah,South Wales,no,listings,
Centre Meadows Holiday Park,YO25 8TP,https://www.larkhamleisure.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/country-meadows-holiday-park,01754 874455,,,False,original 643-park reference table,East Riding of Yorkshire,Ulrome,Yorkshire and Humber,no,listings,Larkham Leisure
Challaborough Bay Holiday Park,TQ7 4HU,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/devon/challaborough-bay-holiday-park,01548 810 771,,,True,original 643-park reference table,Devon,Ringmore,South West,no,listings,Parkdean
Chantry Country  Leisure Park,DL8 4NA,https://www.parkleisure.co.uk/our-parks/yorkshire/chantry,https://www.staticcaravanparks.co.uk/parks/yorkshire/chantry-country-retreat,01969 622 372,,,False,original 643-park reference table,North Yorkshire,West Witton,Yorkshire and Humber,no,listings,Park Leisure
Cheddar Woods Resort & Spa,BS27 3DB,https://darwinescapes.co.uk,https://www.staticcaravanparks.co.uk/parks/somerset/cheddar-woods-resort-spa,,,,False,original 643-park reference table,Somerset,Cheddar,South West,no,listings,Darwin Escapes
Cherry Tree Holiday Park,NR31 9QR,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/cherry-tree-holiday-park,01493780229,,,True,original 643-park reference table,Norfolk,Burgh Castle,General East,yes,listings,Parkdean
Chesil Beach Holiday Park,DT4 9AG,https://watersideholidaygroup.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/the-beach-caravan-park,,,,False,original 643-park reference table,Dorset,Weymouth,South West,no,listings,Waterside Holiday Group
Chichester Lakeside,PO20 1QH,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/sussex/chichester-lakeside-caravan-park,,,,False,original 643-park reference table,West Sussex,North Mundham,South East,no,listings,Park Holidays
Church Farm Holiday Village,PO21 4NR,https://www.haven.com/parks/sussex/church-farm,,01243 262635,,,False,original 643-park reference table,West Sussex,Pagham,South East,no,listings,Haven
Church Point Holiday Park,NE64 6DP,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/northumberland/church-point-holiday-park,01670 817 433,,,True,original 643-park reference table,Northumberland,Newbiggin by the Sea,North East,yes,listings,Parkdean
Clarach Bay Holiday Village,SY23 3DT,https://www.clarachbay.com,https://www.staticcaravanparks.co.uk/parks/wales/clarach-bay-holiday-village,,,,False,original 643-park reference table,Ceredigion,Tirymynach,South Wales,no,listings,Vale Holiday Parks
Clea Hall Holiday Park,CA7 8NQ,https://www.cleahall.co.uk,https://www.staticcaravanparks.co.uk/parks/cumbria/clea-hall-holiday-park,01697 342 880,,,False,original 643-park reference table,Cumberland,Westward,North West,no,listings,
Cleethorpes Beach,DN36 4ET,https://www.haven.com/parks/lincolnshire/cleethorpes-beach,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beachcomber-holiday-centre,01472 813395,,,False,original 643-park reference table,North East Lincolnshire,Humberston,Yorkshire and Humber,no,listings,Haven
Cleethorpes Pearl,DN36 4ET,https://www.awayresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beachcomber-holiday-centre,01472 812 666,,,False,original 643-park reference table,North East Lincolnshire,Humberston,Yorkshire and Humber,no,listings,Away Resorts
Clifftop Holiday Park,NE68 7XY,https://www.northumbrianleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/yorkshire/clifftop-holiday-park,,,,False,original 643-park reference table,Northumberland,North Sunderland,North East,no,listings,Northumbrian Leisure
Coast View Holiday Park,TQ14 0BG,https://www.coastview.co.uk,https://www.staticcaravanparks.co.uk/parks/devon/coast-view-holiday-park,01626 818 350,,,False,original 643-park reference table,Devon,Shaldon,South West,no,listings,
Coastfields Holiday Village,PE25 1JU,https://www.coastfields.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/coastfield-leisure-village,01754 872592,,,False,original 643-park reference table,Lincolnshire,Ingoldmells,Central England,yes,listings,Coastfields Leisure
Cockburnspath Holiday Park,TD13 5YH,https://www.verdantleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/scotland/cockburnspath-park,01368 830 433,,,False,original 643-park reference table,Scottish Borders,Scottish Borders,Scotland,no,listings,Verdant Leisure
Cockerham Sands,LA2 0BB,https://www.pure-leisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/cockerham-sands-country-park,01524 751387,,,False,original 643-park reference table,Lancashire,Cockerham,North West,yes,listings,Pure Leisure
Coed Helen Holiday Park,LL54 5RS,https://www.stdavidsleisure.com,https://www.staticcaravanparks.co.uk/parks/wales/coed-helen-holiday-park,01286 672 852,,,False,original 643-park reference table,Gwynedd,Caernarfon,North Wales,yes,listings,St David's Leisure
Coghurst Hall Holiday Park,TN35 4NP,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/sussex/coghurst-hall-holiday-park,08458 159 781,,,False,original 643-park reference table,East Sussex,Guestling,South East,no,listings,Park Holidays
Coldingham Bay Holiday Park,TD14 5NT,https://www.verdantleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/bay-caravan-park,02920 707 512,,,False,original 643-park reference table,Scottish Borders,Scottish Borders,Scotland,no,listings,Verdant Leisure
Combe Haven Holiday Park,TN38 8BZ,https://www.haven.com/parks/sussex/combe-haven,https://www.staticcaravanparks.co.uk/parks/dorset/haven-caravan-park,01424 427891,,,False,original 643-park reference table,East Sussex,"Hastings, unparished area",South East,no,listings,Haven
Coopers Beach Holiday Park,CO5 8TN,https://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/essex/coopers-beach-holiday-park,01206 383 236,,,True,original 643-park reference table,Essex,East Mersea,General East,yes,listings,Parkdean
Cornish Meadows,TR27 5HA,https://lovatparks.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/country-meadows-holiday-park,01754 874455,,,False,original 643-park reference table,Cornwall,Gwinear-Gwithian,South West,no,listings,Lovat Parks
Corriefodly,PH10 7JG,https://www.woodleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/scotland/corriefodly-holiday-park,01250 878 123,,,True,original 643-park reference table,Perth and Kinross,Perth and Kinross,Scotland,no,listings,Wood Leisure
Cowden Holiday Park,HU11 4UD,https://www.larkhamleisure.com,https://www.staticcaravanparks.co.uk/parks/yorkshire/cowden-caravan-park,01964 527393,,,False,original 643-park reference table,East Riding of Yorkshire,Mappleton,Yorkshire and Humber,no,listings,Larkham Leisure
Craig Tara Holiday Park,KA7 4LB,https://www.haven.com/parks/scotland/craig-tara,https://www.staticcaravanparks.co.uk/parks/scotland/craig-tara-holiday-park,01292 265141,,,False,original 643-park reference table,South Ayrshire,South Ayrshire,Scotland,no,listings,Haven
